PLA_CODE;SMP_DB_REAL;SMP_DE_REAL;SMP_D_ANALYSIS;POL_CODE;MEA_CODE;MEA_PHYSICAL_UNIT;MEA_VALUE;MEA_F_STATUS;JOB_TYPE;
"HBX04";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Zn";"PM@Zn";"ug/m2*jour";"63.1603123564538";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"PM";"PM";"g/m2*jour";"4.43997856377319E-02";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"As";"PM@As";"ug/m2*jour";"0.428724544480171";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cd";"PM@Cd";"ug/m2*jour";"0.07502679528403";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cr";"PM@Cr";"ug/m2*jour";"14.2015005359057";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Ni";"PM@Ni";"ug/m2*jour";"3.7513397642015";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Pb";"PM@Pb";"ug/m2*jour";"2.94748124330118";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Zn";"PM@Zn";"ug/m2*jour";"167.202572347267";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"PM";"PM";"g/m2*jour";"6.45304357467561E-02";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"As";"PM@As";"ug/m2*jour";"0.997893336290054";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cd";"PM@Cd";"ug/m2*jour";"0.415788890120856";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cr";"PM@Cr";"ug/m2*jour";"21.6210222862845";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Ni";"PM@Ni";"ug/m2*jour";"3.04911852755294";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Pb";"PM@Pb";"ug/m2*jour";"6.65262224193369";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Zn";"PM@Zn";"ug/m2*jour";"116.975274420667";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"PM";"PM";"g/m2*jour";"9.30968649517603E-02";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"As";"PM@As";"ug/m2*jour";"0.954581993569132";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cd";"PM@Cd";"ug/m2*jour";"0.351688102893891";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cr";"PM@Cr";"ug/m2*jour";"25.120578778135";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Ni";"PM@Ni";"ug/m2*jour";"3.01446945337621";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Pb";"PM@Pb";"ug/m2*jour";"11.3042604501608";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Zn";"PM@Zn";"ug/m2*jour";"81.8930868167203";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"PM";"PM";"g/m2*jour";"6.23743971061308E-02";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"As";"PM@As";"ug/m2*jour";"1.45699356913183";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cd";"PM@Cd";"ug/m2*jour";"0.602893890675241";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cr";"PM@Cr";"ug/m2*jour";"31.9031350482315";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Ni";"PM@Ni";"ug/m2*jour";"4.27049839228296";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Pb";"PM@Pb";"ug/m2*jour";"7.78737942122186";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Zn";"PM@Zn";"ug/m2*jour";"71.5936495176849";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"PM";"PM";"g/m2*jour";"1.37804317868305E-02";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"As";"PM@As";"ug/m2*jour";"0.51676619200735";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cd";"PM@Cd";"ug/m2*jour";"0.137804317868627";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cr";"PM@Cr";"ug/m2*jour";"13.4933394579697";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Ni";"PM@Ni";"ug/m2*jour";"5.45475424896647";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Pb";"PM@Pb";"ug/m2*jour";"5.1676619200735";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Zn";"PM@Zn";"ug/m2*jour";"126.320624712908";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"PM";"PM";"g/m2*jour";"4.25241157556069E-02";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"As";"PM@As";"ug/m2*jour";"0.616291532690246";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cd";"PM@Cd";"ug/m2*jour";"9.11039657020364E-02";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cr";"PM@Cr";"ug/m2*jour";"31.3504823151125";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Ni";"PM@Ni";"ug/m2*jour";"4.82315112540193";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Pb";"PM@Pb";"ug/m2*jour";"3.48338692390139";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Zn";"PM@Zn";"ug/m2*jour";"72.0793140407288";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"PM";"PM";"g/m2*jour";"6.48076283401792E-02";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"As";"PM@As";"ug/m2*jour";"0.776139261558931";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cd";"PM@Cd";"ug/m2*jour";"0.224526000665262";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cr";"PM@Cr";"ug/m2*jour";"44.9052001330524";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Ni";"PM@Ni";"ug/m2*jour";"5.26665927486417";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Pb";"PM@Pb";"ug/m2*jour";"5.82104446169198";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Zn";"PM@Zn";"ug/m2*jour";"78.7226965295487";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"PM";"PM";"g/m2*jour";"8.99567926044963E-02";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"As";"PM@As";"ug/m2*jour";"1.0048231511254";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cd";"PM@Cd";"ug/m2*jour";"0.198452572347267";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cr";"PM@Cr";"ug/m2*jour";"44.2122186495177";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Ni";"PM@Ni";"ug/m2*jour";"5.02411575562701";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Pb";"PM@Pb";"ug/m2*jour";"10.2994372990354";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Zn";"PM@Zn";"ug/m2*jour";"200.211012861736";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"PM";"PM";"g/m2*jour";"4.50411977492134E-02";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"As";"PM@As";"ug/m2*jour";"0.979702572347267";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cd";"PM@Cd";"ug/m2*jour";"0.276326366559486";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cr";"PM@Cr";"ug/m2*jour";"32.1543408360129";"A";"DATA_VALIDATE_TECH";
