"Réseau";"Sous-réseau";"Code station (interne)";"Adr.N°";"Adr.Rue";"Adr.Localité";"LUREF X";"LUREF Y"
"Bergerhoff";"Dommeldange";"HDO03";"";"Route d'Eich (Mr Schmit, jardin)";"Dommeldange (Eich)";"77620";"77503";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO04";"";"Rue des Sources";"Dommeldange";"78152";"77641";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO05";"2";"Rue Van de Meulen";"Dommeldange";"77996";"78407";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO06";"";"Rue des Anémones";"Dommeldange";"77728";"79302";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO07";"133";"Rue de Luxembourg";"Dommeldange (Beggen)";"77252";"78442";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO08";"2";"Rue Cyprien Mergen";"Dommeldange";"77227";"78786";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO11";"";"Rue des Hauts Fournaux, près de l'école";"Dommeldange (Mongenast)";"77738";"77832";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO14";"";"Rue Henri Dunant";"Dommeldange";"77602";"78895";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU01";"";"Kräitzbierg";"Dudelange";"75205";"60638";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU02";"";"Niddeschgaass / Rue Lentz";"Dudelange";"76074";"60112";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU03";"";"Zone Industrielle Riedchen";"Dudelange";"75948";"61796";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU04";"";"Z.I. Wolser 2";"Dudelange";"74018";"62740";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU04A";"2";"ZI Wolser";"Dudelange";"74303";"63511";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU05";"26";"rue du Parc";"Dudelange";"74174";"60989";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU06";"";"Stade Barozzi";"Dudelange";"73213";"59631";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU07";"";"Hardt, derrière Affilux";"Dudelange";"72805";"59365";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU08";"29";"Rue Gaffelt";"Dudelange";"73626";"60684";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU09";"";"Belvédère, Châlet des Scouts";"Dudelange";"73375";"60425";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU10";"";"Hôpital Municipal";"Dudelange";"74170";"59535";"";"";"";"";"";"";
"Bergerhoff";"Dudelange";"HDU11";"";"Cimetière";"Dudelange";"73481";"61325";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES04";"";"Galgenbierg, Cité Jardinière";"Esch/Alzette";"67020";"61803";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES05";"";"Nossbierg, Bâtiments";"Esch/Alzette";"67445";"62075";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES06";"";"Cité François Leesbierg";"Esch/Alzette";"67456";"62810";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES07";"";"Rue Léon Metz";"Esch/Alzette";"66817";"63242";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES08";"";"Boulevard Aloyse Meyer";"Esch/Alzette";"67246";"63623";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES08A";"";"Intérieur aciérie Schifflange";"Esch/Alzette";"67596";"63247";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES10";"";"Cité Portland";"Esch/Alzette";"67363";"64012";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES10A";"53";"Rue de Portland";"Esch/Alzette";"67462";"64176";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES10B";"";"Um Monkeler (Garage EDIS)";"Esch/Alzette";"67551";"64379";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES10C";"16";"Rue de Bergem";"Esch/Alzette";"67368";"64136";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES11";"";"Cimetière Lallange";"Esch/Alzette";"67013";"64049";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES12";"16";"Boulvevard Hubert Clement";"Esch/Alzette";"66781";"64045";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES13";"";"Avenue de la Paix, Lallange";"Esch/Alzette";"66628";"63615";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES14";"";"Rue Arthur Useldinger";"Esch/Alzette";"66149";"63385";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES15";"";"Route de Luxembourg";"Esch/Alzette";"66824";"62722";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES15A";"";"Route de Luxembourg";"Esch/Alzette";"66833";"62790";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES16";"";"Lycée de Garçon";"Esch/Alzette";"66610";"62695";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES17";"";"Parc Laval";"Esch/Alzette";"66269";"62772";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES19";"";"Route d'Ehlerange";"Esch/Alzette";"65500";"63732";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES20";"";"Route de Belvaux";"Esch/Alzette";"64996";"63433";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES20A";"308";"Boulevard Charles de Gaulle";"Esch/Alzette";"64786";"63603";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES20B";"";"Cité Jardinnière Elsenbrech";"Esch/Alzette";"65100";"63500";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES20C";"1";"Rue des Tramways";"Esch/Alzette";"65063";"63405";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES20D";"21";"rue des Tramways";"Esch/Alzette";"65098";"63476";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES21";"";"Rue Moedling, Cité Raemerich";"Esch/Alzette";"64624";"63886";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES21A";"20";"Rue de puteaux, Cité Raemerich";"Esch/Alzette";"64557";"64022";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES22";"";"Rue Michel Lentz, Ecole Brouch";"Esch/Alzette";"65576";"63188";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES22A";"190";"Rue de Belvaux";"Esch/Alzette";"65482";"63320";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES23";"";"Boulevard Charles de Gaulle, Cité Marcinelle";"Esch/Alzette";"65238";"63162";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES24";"";"Aciérie Arcelor Mittal";"Esch/Alzette";"64525";"62587";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES24A";"";"Intérieur aciérie Arcelor Mittal";"Esch/Alzette";"64253";"62729";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES24B";"";"Intérieur aciérie protection en terre";"Esch/Alzette";"64927";"63282";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES26";"";"Belval, avenue des Terres Rouges (route d'Esch)";"Esch/Alzette";"65620";"62188";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES27";"";"Belval, Aire de jeux";"Esch/Alzette";"64660";"62213";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES28";"";"Belval, portail Arcelor Mittal";"Esch/Alzette";"63251";"62991";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES29";"";"Rue des Mines";"Esch/Alzette";"66082";"61173";"";"";"";"";"";"";
